"Ploidy"	"Features"	"GD"
"1"	0.117251814234692	"Age"	0.0594714069205088
"2"	1.1148242592823e-42	"GD"	NA
"3"	1.16153780672136e-78	"GII_CJB"	6.26256271039584e-39
"4"	0.110916729647802	"Purity"	0.0361931139947234
"5"	0.0326819085704402	"Stage"	0.338139715294878
